Taxon,c11,c13,c19,c2,c20,c21,c24,c25,c26,c27,c28,c29,c3,c30,c31,c32,c33,c34,c36,c4,c40,c47,c49,c5,c50,c6,c7,c8,c9,E1,E3,E4,E5,E6,H1,H3,H4,H5,H7,Kp1,Kp2,M9,S14,S15,S21,S22,S23,S25,S26,S29,S32,S34,S47,S48,S79,ST1,ST2,ST22,ST4,ST6,ST64,ST7,ST8;;;;;;;;;;;
Pseudomonas,0.280149676480524,0.406759689922481,0.0001126278325899,0.0,0.000218710700421,0.0,3.9397222495814e-05,0.0267764013316759,0.0,0.0,0.0014360938247965,0.0550027262813522,0.747679920529109,0.0861042375502629,0.0,0.0,0.0,0.0003137550200803,0.0008012488430243,0.0,0.001345158569116,0.896938407305632,0.0001212023270846,0.0660214168039539,0.28627752478956,0.0003361219002091,0.000273190869354,0.0004746378306987,0.000104791595714,0.0581157717263577,0.0264285308971231,0.0077355382578082,0.0039709643089727,0.0,0.378463849468316,0.567599548200871,0.999868207178316,0.611923701992986,0.0837054823724782,0.0004438132433871,0.0001277955271565,0.561011082882286,0.384718547912992,0.52469386100073,0.99953869450545,0.0332985683132644,0.0449255310490763,0.0116083866128514,0.0158628496529536,0.0286047960137029,0.999740431662146,0.0,0.000101617754654,0.0795397419426912,0.0151042569167677,0.0296188360215829,0.0022442786698697,3.68405540819334e-05,0.0003311373697235,0.193317238545305,0.0002527167045741,0.0026407227241139,0.00262078623587076;;;;;;;;;;;
Bacillus,0,0.379286821705426,0.0,0.788810924469015,0.0,0.0004401098514189,0.0005712597261893,0.0,0.0001198638346837,0.234584373749118,0.124137185564941,0.0,0.0,0.0568357562635323,0.0003745879532514,0.0001200864622528,0.0010228703315149,0.995419176706827,0.679997789658364,0.0263350921609919,0.0177150543763252,0.0,0.785754686489981,0.0087726523887973,0.0,0.0004108156558111,0.559191355026712,0.0,0.534437138141521,0.0017881775915802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.34861845972957e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.67144191840548e-05,0.0,0.0,0.0,0.0,0.0,4.32812995931558e-05,0.118693893033253,0.0,0.0,6.42079309636326e-05,0.0,0.0,0;;;;;;;;;;;
Klebsiella,0,0,0.283957291525882,0.211118198785645,0.716632948767018,0.842159002887121,0.0007288486161725,0.0006286881849486,0.0002637004363043,0.0,0.0,0.0075483914940021,0.0,0.0,0.0,0.831638779921543,0.0002622744439781,0.0,0.0,0.0,0.0164154944027724,0.103061592694368,0.0137362637362637,0.0,0.0,0.000186734389005,0.0,0.0001031821371084,0.0,0.215475399785419,0.0060290529421778,0.489955104809276,0.412059024413489,0.0,0.385401430999723,0.432400451799129,0.0001317928216843,0.273051920280558,0.342631449024932,0.993727439493461,0.996725239616613,0.300673809786811,0.249889770723104,0.108182629146055,0.0,0.424898075282071,0.7125417107512,0.972479194199378,0.971595817569782,0.942790407972594,0.0,0.0030231670061099,0.738476546622226,0.864305796049079,0.0001299601455553,0.970107049080994,0.0461499557466178,0.999263188918361,0.608630485551954,0.0006292377234436,0.629986642117044,0.228144544822794,0.458617585275583;;;;;;;;;;;
Enterococcus,9.09492503183224e-05,0.0378087855297158,0.0531828625489931,0.0,0.169992891902236,0.15740088726146,0.996493647197872,0.0233471930501379,0.995205446612648,0.0,0.0007875353232755,0.936358369683751,0.0,0.040422981750696,0.381986065328139,0.168241133616204,0.997560847671003,0.0,0.0,0.21960106949341,0.39723216524931,0.0,0.117283451842275,0.5999176276771,0.121493484731997,0.357652375261428,0.41224502185527,0.713731478806389,0.433129862984989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08223177357878e-05,5.01419015814756e-05,0.0,0.0,5.3577168982391e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0;;;;;;;;;;;
Achromobacter,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146452811893988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0;;;;;;;;;;;
Brevibacterium,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034303882195448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0;;;;;;;;;;;
Escherichia-Shigella,5.19710001818985e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0812712650788741,0.0,0.0,0.0,0.0,0.0,0.0,0.0033286974761177,0.0,0.0,0.0,0.0077670668480296,0.0,0.0,0.0,0.0,0.720661114801001,0.96078987686546,0.498901844255676,0.582524580269073,1.0,0.234968573348618,0.0,0.0,0.11466085022667,0.572810304975202,0.0041422569382803,0.001996805111821,0.138131006296255,0.364730305702528,0.367001865217744,7.01986622140658e-05,0.531165260263582,0.242532758199723,0.0156981105118406,0.0119455449968721,0.0084241669261912,0.000220633087176,0.996945010183299,0.261299894317535,0.0559868923271705,0.984765782937677,0.0,0.0398280440005058,0.0003131447096964,0.040015336888703,0.0613314156564619,0.249359182641973,0.615983321751216,0.161748524557367;;;;;;;;;;;
Staphylococcus,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006712374742292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006275100401606,0.0,0.0,0.0,0.0,0.0,0.0,0.0013799357344215,0.0,0.0,0.0,0.0,0.0039595360956419,0.0066816092606253,0.0033590646296954,0.0014454310084661,0.0,0.0011661461833419,0.0,0.0,0.0002993755880591,0.0008527636273871,0.0016864903248712,0.0011501597444089,0.0001841010346478,0.0005878894767783,6.08223177357878e-05,0.0002607378882236,0.0106380961410828,0.0,0.0001607315069471,0.0003276832792159,0.0199314855185301,0.0,0.0,0.0001219413055849,0.0,0.0,8.65625991863116e-05,0.793083828549753,0.0001842027704096,0.35102304018962,0.744580850626669,0.0850752734755767,0.153231410701876,0.377013103931179;;;;;;;;;;;
Raoultella,0,0,0.0,0.0,0.0,0.0,0.0020683541810302,0.94856187577693,0.0009589106774703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0;;;;;;;;;;;
Terribacillus,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000185302429006,0.0,0.0,0.0,0.0001685645789631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0;;;;;;;;;;;
Citrobacter,0.144492373255723,0.0338811369509044,0.662702166959499,0.0,0.113155448630324,0.0,0.0,0.0005143812422307,0.0011506928129644,0.689476392886415,0.864821878040118,0.0009371592148309,0.0,0.0,0.616908900209769,0.0,0.0,0.0001045850066934,0.091660104714935,0.0,0.001778345226967,0.0,0.0167663219133807,0.202965403624382,0.583022847793088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0;;;;;;;;;;;
