Taxon,c11,c13,c19,c2,c20,c21,c24,c25,c26,c27,c28,c29,c3,c30,c31,c32,c33,c34,c36,c4,c40,c47,c49,c5,c50,c6,c7,c8,c9,E1,E3,E4,E5,E6,H1,H3,H4,H5,H7,Kp1,Kp2,M9,S14,S15,S21,S22,S23,S25,S26,S29,S32,S34,S47,S48,S79,ST1,ST2,ST22,ST4,ST6,ST64,ST7,ST8
Proteobacteria,0.999909050749682,0.582904392764858,0.946817137451007,0.211189075530985,0.830007108097764,0.842159002887121,0.00293509307593815,0.976652806949862,0.00366783334132426,0.765415626250882,0.874889976682778,0.0636416303162486,1,0.902741261985772,0.617470782139647,0.831638779921543,0.00141628199748217,0.000522925033467202,0.320002210341636,0.754063838345598,0.585052780374365,1,0.096961861667744,0.391309719934102,0.877067439430678,0.641936809082761,0.0285636231180185,0.286268521193611,0.0324329988734903,0.994252286312778,0.993318390739375,0.996640935370305,0.998554568991534,1,0.998833853816658,1,1,0.999700624411941,0.999147236372613,0.998313509675129,0.998849840255591,0.999815898965352,0.999338624338624,0.999878355364529,0.999659035069246,0.989361903858917,1,0.99978569132407,0.999672316720784,0.980021800062286,1,1,0.999878058694415,1,1,0.999870156101221,0.0882222784169933,0.99981579722959,0.64897695981038,0.255354941442367,0.879598541463591,0.846768589298124,0.622986896068821
Firmicutes,9.09492503183224e-05,0.417095607235142,0.0531828625489931,0.788810924469015,0.169992891902236,0.157840997112879,0.997064906924062,0.0233471930501379,0.996332166658676,0.234584373749118,0.125110023317222,0.936358369683751,0,0.0972587380142283,0.382529217860354,0.168361220078456,0.998583718002518,0.996046686746988,0.679997789658364,0.245936161654402,0.414947219625636,0,0.903038138332256,0.608690280065898,0.122873420466418,0.358063190917239,0.971436376881982,0.713731478806389,0.96756700112651,0.00574771368722219,0.00668160926062532,0.00335906462969542,0.0014454310084661,0,0.0011661461833419,0,0,0.000299375588059191,0.000852763627387177,0.00168649032487129,0.00115015974440895,0.000184101034647815,0.000661375661375661,0.000121644635471576,0.000340964930754034,0.0106380961410828,0,0.000214308675929564,0.000327683279215943,0.0199781999377141,0,0,0.000121941305584912,0,0,0.000129843898779467,0.911777721583007,0.000184202770409667,0.35102304018962,0.744645058557633,0.0850752734755767,0.153231410701876,0.377013103931179
Actinobacteriota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343038821954485,0,0,0,0,0,0,5.91401029037791e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353261850608325,0,0
